Requisition Status,Requisition Division,Requisition ID,Requisition Location,Job Category,Requisition Position,Requisition Display Job Title,Requisition Date Opened,Requisition Days Open,Requisition Address 1,Requisition Address 2,Requisition City,Requisition State/Province,Requisition Postal Code,Requisition Description - External,Requisition Primary Owner - Name,Requisition Full/Part Time
Open,RETAIL,req1851,00316-CLAYTON HOMES #316,Management,FIELD MIT,"Clayton Homes Manager in Training - Louisville, KY",10/30/2017 04:37 PM,111,12200 DIXIE HIGHWAY,,LOUSIVILLE,KY,40272,"Position Description: Manager in TrainingClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.The Manager in Training will assist the general manager with overall accountability for all sales and operational activity at his or her location. The manager is responsible for running a profitable organization within company guidelines. Their duties fall into six (6) major categories:Marketing – Bringing the consumer to the Home Center.Personal Sales & Sales Management – All sales activity at the sales center.Insurance – Securing appropriate insurance based on what is best for the customers.Operations Management – Running all aspects of the business.General Management – All duties related to team members.Service Management – All set-up and delivery activities as well as providing world class customer service.Ensures location maintains compliance to all safety and environmental regulations.Develop and train team members to support growth of company.Compensation:$40,000 yearly salary.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Model Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.  Job Responsibilities:Personal sales accountability.Recruits, interviews and hires all Home Center team members.Develops marketing strategies including all advertising, local promotions and merchandising.Maintains the cleanliness and upkeep of home center property.Manages the comprehensive sales activity for all sales professionals utilizing Prospector.Ensures all sales professionals complete ‘Sales 101’ – Sales Training for New Sales Professionals.Conducts weekly sales meeting.Manages and analyzes the P&L statement on a regular basis.Develops and executes comprehensive expense control plan.Orders and manages all sales center inventory.Pays all vendors utilizing the online PO system.Manages team members including, but not limited to: scheduling, payroll, performance management, progressive counseling, conflict resolution and all other issues related to managing team members.Ensuring company policy and procedure is administered fairly and consistently.Manages foreclosure process and re-markets foreclosed inventory.Manages all service, set-up and delivery.Ensures customer satisfaction is maintained at a high level.Participate in resolving all customer complaints and disputes.Develops business plan on an annual basis.Sets goals with team in an effort to achieve business plan.","KEMP, JENNIFER",Full Time
Open,RETAIL,req2041,01026-CLAYTON HOMES #1026,Management,FIELD MIT,"Clayton Homes Manager in Training - Turtle Creek, WV",01/03/2018 05:00 PM,46,ROUTE 119 NORTH,P.O BOX 100,TURTLE CREEK,WV,25203,"Position Description: Manager in TrainingClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.The Manager in Training will assist the general manager with overall accountability for all sales and operational activity at his or her location. The manager is responsible for running a profitable organization within company guidelines. Their duties fall into six (6) major categories:Marketing – Bringing the consumer to the Home Center.Personal Sales & Sales Management – All sales activity at the sales center.Insurance – Securing appropriate insurance based on what is best for the customers.Operations Management – Running all aspects of the business.General Management – All duties related to team members.Service Management – All set-up and delivery activities as well as providing world class customer service.Ensures location maintains compliance to all safety and environmental regulations.Develop and train team members to support growth of company.Compensation:$40,000 yearly salary.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Model Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.  Job Responsibilities:Personal sales accountability.Recruits, interviews and hires all Home Center team members.Develops marketing strategies including all advertising, local promotions and merchandising.Maintains the cleanliness and upkeep of home center property.Manages the comprehensive sales activity for all sales professionals utilizing Prospector.Ensures all sales professionals complete ‘Sales 101’ – Sales Training for New Sales Professionals.Conducts weekly sales meeting.Manages and analyzes the P&L statement on a regular basis.Develops and executes comprehensive expense control plan.Orders and manages all sales center inventory.Pays all vendors utilizing the online PO system.Manages team members including, but not limited to: scheduling, payroll, performance management, progressive counseling, conflict resolution and all other issues related to managing team members.Ensuring company policy and procedure is administered fairly and consistently.Manages foreclosure process and re-markets foreclosed inventory.Manages all service, set-up and delivery.Ensures customer satisfaction is maintained at a high level.Participate in resolving all customer complaints and disputes.Develops business plan on an annual basis.Sets goals with team in an effort to achieve business plan.","LOWRY, AMBER",Full Time
Open,RETAIL,req2051,02201-ZONE2-ROC,Management,FIELD MIT,Clayton Homes Manager in Training - TEN Region,01/04/2018 03:52 PM,45,5000 CLAYTON ROAD,,MARYVILLE,TN,37804,"Position Description: Manager in TrainingClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.The Manager in Training will assist the general manager with overall accountability for all sales and operational activity at his or her location. The manager is responsible for running a profitable organization within company guidelines. Their duties fall into six (6) major categories:Marketing – Bringing the consumer to the Home Center.Personal Sales & Sales Management – All sales activity at the sales center.Insurance – Securing appropriate insurance based on what is best for the customers.Operations Management – Running all aspects of the business.General Management – All duties related to team members.Service Management – All set-up and delivery activities as well as providing world class customer service.Ensures location maintains compliance to all safety and environmental regulations.Develop and train team members to support growth of company.Compensation:$40,000 yearly salary.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Model Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.  Job Responsibilities:Personal sales accountability.Recruits, interviews and hires all Home Center team members.Develops marketing strategies including all advertising, local promotions and merchandising.Maintains the cleanliness and upkeep of home center property.Manages the comprehensive sales activity for all sales professionals utilizing Prospector.Ensures all sales professionals complete ‘Sales 101’ – Sales Training for New Sales Professionals.Conducts weekly sales meeting.Manages and analyzes the P&L statement on a regular basis.Develops and executes comprehensive expense control plan.Orders and manages all sales center inventory.Pays all vendors utilizing the online PO system.Manages team members including, but not limited to: scheduling, payroll, performance management, progressive counseling, conflict resolution and all other issues related to managing team members.Ensuring company policy and procedure is administered fairly and consistently.Manages foreclosure process and re-markets foreclosed inventory.Manages all service, set-up and delivery.Ensures customer satisfaction is maintained at a high level.Participate in resolving all customer complaints and disputes.Develops business plan on an annual basis.Sets goals with team in an effort to achieve business plan.","HAGOOD, MICHAEL",Full Time
Open,RETAIL,req2053,00853-CLAYTON HOMES #853,Management,FIELD MIT,"Clayton Homes Manager in Training - Georgetown, KY",01/05/2018 11:48 AM,44,300 CONNECTOR RD.,,GEORGETOWN,KY,40324,"Position Description: Manager in TrainingClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.The Manager in Training will assist the general manager with overall accountability for all sales and operational activity at his or her location. The manager is responsible for running a profitable organization within company guidelines. Their duties fall into six (6) major categories:Marketing – Bringing the consumer to the Home Center.Personal Sales & Sales Management – All sales activity at the sales center.Insurance – Securing appropriate insurance based on what is best for the customers.Operations Management – Running all aspects of the business.General Management – All duties related to team members.Service Management – All set-up and delivery activities as well as providing world class customer service.Ensures location maintains compliance to all safety and environmental regulations.Develop and train team members to support growth of company.Compensation:$40,000 yearly salary.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Model Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.  Job Responsibilities:Personal sales accountability.Recruits, interviews and hires all Home Center team members.Develops marketing strategies including all advertising, local promotions and merchandising.Maintains the cleanliness and upkeep of home center property.Manages the comprehensive sales activity for all sales professionals utilizing Prospector.Ensures all sales professionals complete ‘Sales 101’ – Sales Training for New Sales Professionals.Conducts weekly sales meeting.Manages and analyzes the P&L statement on a regular basis.Develops and executes comprehensive expense control plan.Orders and manages all sales center inventory.Pays all vendors utilizing the online PO system.Manages team members including, but not limited to: scheduling, payroll, performance management, progressive counseling, conflict resolution and all other issues related to managing team members.Ensuring company policy and procedure is administered fairly and consistently.Manages foreclosure process and re-markets foreclosed inventory.Manages all service, set-up and delivery.Ensures customer satisfaction is maintained at a high level.Participate in resolving all customer complaints and disputes.Develops business plan on an annual basis.Sets goals with team in an effort to achieve business plan.","LOWRY, AMBER",Full Time
Open,RETAIL,req2081,02106-ZONE1-PAL,Management,FIELD MIT,Clayton Homes Manager in Training - FLG Region,01/11/2018 03:47 PM,38,5000 CLAYTON ROAD,,MARYVILLE,TN,37804,"Position Description: Manager in TrainingClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.The Manager in Training will assist the general manager with overall accountability for all sales and operational activity at his or her location. The manager is responsible for running a profitable organization within company guidelines. Their duties fall into six (6) major categories:Marketing – Bringing the consumer to the Home Center.Personal Sales & Sales Management – All sales activity at the sales center.Insurance – Securing appropriate insurance based on what is best for the customers.Operations Management – Running all aspects of the business.General Management – All duties related to team members.Service Management – All set-up and delivery activities as well as providing world class customer service.Ensures location maintains compliance to all safety and environmental regulations.Develop and train team members to support growth of company.Compensation:$40,000 yearly salary.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Model Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.  Job Responsibilities:Personal sales accountability.Recruits, interviews and hires all Home Center team members.Develops marketing strategies including all advertising, local promotions and merchandising.Maintains the cleanliness and upkeep of home center property.Manages the comprehensive sales activity for all sales professionals utilizing Prospector.Ensures all sales professionals complete ‘Sales 101’ – Sales Training for New Sales Professionals.Conducts weekly sales meeting.Manages and analyzes the P&L statement on a regular basis.Develops and executes comprehensive expense control plan.Orders and manages all sales center inventory.Pays all vendors utilizing the online PO system.Manages team members including, but not limited to: scheduling, payroll, performance management, progressive counseling, conflict resolution and all other issues related to managing team members.Ensuring company policy and procedure is administered fairly and consistently.Manages foreclosure process and re-markets foreclosed inventory.Manages all service, set-up and delivery.Ensures customer satisfaction is maintained at a high level.Participate in resolving all customer complaints and disputes.Develops business plan on an annual basis.Sets goals with team in an effort to achieve business plan.","HINSON, HANNAH",Full Time
Open,RETAIL,req1791,00204-CLAYTON HOMES #204,Office and Administrative Support,ADMIN,"Clayton Homes Part Time Administrative Assistant - Crossville, TN",10/10/2017 09:20 AM,131,1340 WEST AVENUE,,CROSSVILLE,TN,38555,"Position Description: Part Time Administrative AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Job Responsibilities:Maintain customer files, ensuring record retention policies are adhered to;Assist in preparation of sales packages;Prepare letters, flyers, copies, business card requests, and other correspondence as requested by the Home Center Manager;Assist customers with general questions, route phone calls and messages accurately and quickly;Assist Home Center staff in working with Home Office staff to carry out sales, marketing, human resource and other business processesCompensation:As an Administrative Assistant with Clayton Homes, you will receive an hourly wage.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Home Centers are closed on Sundays – we believe in offering a balanced working environment;  ","LOWRY, AMBER",Part Time
Open,RETAIL,req1938,01077-CLAYTON HOMES #1077,Office and Administrative Support,ADMIN,"Clayton Homes Part Time Administrative Assistant - Cedar Creek, TX",11/21/2017 01:44 PM,89,2450 HIGHWAY 71 WEST,,CEDAR CREEK,TX,78610,"Position Description: Part Time Administrative AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Job Responsibilities:Maintain customer files, ensuring record retention policies are adhered to;Assist in preparation of sales packages;Prepare letters, flyers, copies, business card requests, and other correspondence as requested by the Home Center Manager;Assist customers with general questions, route phone calls and messages accurately and quickly;Assist Home Center staff in working with Home Office staff to carry out sales, marketing, human resource and other business processesCompensation:As an Administrative Assistant with Clayton Homes, you will receive an hourly wage.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Home Centers are closed on Sundays – we believe in offering a balanced working environment;  ","HART, DAVID",Part Time
Open,RETAIL,req2152,00694-CLAYTON HOMES #694,Office and Administrative Support,ADMIN,"Clayton Homes Administrative Assistant - Marion, IL",01/30/2018 03:06 PM,19,14964 MOELLERS RD,,MARION,IL,62959,"Position Description: Administrative AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Job Responsibilities:Maintain customer files, ensuring record retention policies are adhered to;Assist in preparation of sales packages;Prepare letters, flyers, copies, business card requests, and other correspondence as requested by the Home Center Manager;Assist customers with general questions, route phone calls and messages accurately and quickly;Assist Home Center staff in working with Home Office staff to carry out sales, marketing, human resource and other business processesCompensation:As an Administrative Assistant with Clayton Homes, you will receive an hourly wage.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;  ","KEMP, JENNIFER",Full Time
Open,RETAIL,req2211,00305-CLAYTON HOMES #305,Office and Administrative Support,ADMIN,"Clayton Homes Administrative Assistant - Dyersburg, TN",02/14/2018 10:32 AM,4,3895 HWY 51 BYPASS SOUTH,,DYERSBURG,TN,38024,"Position Description: Administrative AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Job Responsibilities:Maintain customer files, ensuring record retention policies are adhered to;Assist in preparation of sales packages;Prepare letters, flyers, copies, business card requests, and other correspondence as requested by the Home Center Manager;Assist customers with general questions, route phone calls and messages accurately and quickly;Assist Home Center staff in working with Home Office staff to carry out sales, marketing, human resource and other business processesCompensation:As an Administrative Assistant with Clayton Homes, you will receive an hourly wage.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;  ","HAGOOD, MICHAEL",Full Time
Open,RETAIL,req2232,00150-CLAYTON HOMES #150,Office and Administrative Support,ADMIN,"Clayton Homes Administrative Assistant - Amarillo, TX",02/16/2018 12:25 PM,2,5000 AMARILLO BOULEVARD EAST,,AMARILLO,TX,79107,"Position Description: Administrative AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Job Responsibilities:Maintain customer files, ensuring record retention policies are adhered to;Assist in preparation of sales packages;Prepare letters, flyers, copies, business card requests, and other correspondence as requested by the Home Center Manager;Assist customers with general questions, route phone calls and messages accurately and quickly;Assist Home Center staff in working with Home Office staff to carry out sales, marketing, human resource and other business processesCompensation:As an Administrative Assistant with Clayton Homes, you will receive an hourly wage.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;  ","HART, DAVID",Full Time
Open,RETAIL,req1563,00343-CLAYTON HOMES #343,Office and Administrative Support,SALES ASSISTANT,"Clayton Homes Part Time Sales Assistant - Dalton, GA",08/15/2017 08:02 AM,187,"3644 CHATSWORTH HWY, S E",,DALTON,GA,30721,"Position Description: Part Time Sales AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Sales AssistantAs a Sales Assistant with Clayton Homes, you will assist the sales team to create a world class home buying experience. To be successful in this role, Sales Assistants must possess an ability to create an initial rapport over the phone with potential home buyers, generate new sales leads in the community for the sales team, and take applications over the phone for prospective home buyers. The sole purpose of this role is to assist the sales team and general manager of the home center to generate leads.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Prospect for customers utilizing various marketing methods including, but not limited to web marketing, road signage, and flyers.Set appointments utilizing prospecting as well as fielding ad calls;Answer prospect inquiries;Greet prospects as they visit the retail location;Effectively demonstrate (feature-benefit) homes to prospects;TO (turn over) prospects to Sales Professional/Manager when applicable;Schedule set-up and delivery and other service-related items;Follow-up with customers utilizing various contact methods;Maintain atmosphere of the retail office and homes on the property, including but not limited to cleaning, maintaining refreshment area, moving furniture and décor,etcActively partner with manager on all exceptions and questions;Protect company assets;Participate in sales meetings and other company events;Participate as needed during marketing promotions and events;Contribute to a positive team environment;Assist other Sales Professionals as needed;Perform other duties as assigned or delegated by manager;Compensation:As a Sales Assistant with Clayton Homes, you will receive an hourly wage plus a percentage of commission on deals you generated.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Home Centers are closed on Sundays – we believe in offering a balanced working environment;Training and Professional Development – we offer online educational opportunities and training seminars.","HAGOOD, MICHAEL",Part Time
Open,RETAIL,req1952,00248-CLAYTON HOMES #248,Office and Administrative Support,SALES ASSISTANT,"Clayton Homes Part Time Internet Digitial Sales Specialist - Kingsport, TN",11/29/2017 10:41 AM,81,3051 EAST STONE DRIVE,,KINGSPORT,TN,37660,"Clayton Homes – Part Time Internet Digital Sales Specialist     Summary  Our commitment to creating a world-class customer experience is unparalleled in the housing industry. As America’s largest home builder, we take pride in ensuring that all Clayton homeowners receive the highest level of customer service they deserve; from the beginning of the process until long after they move into their new home.     A Clayton Homes Internet Digital Sales Specialist creates and maintains a world-class buying experience by assisting internet customers with finding their dream home, exceeding their expectations, and honoring all commitments.     To be successful in this role, you must possess an ability to build and maintain rapport, establish trusting relationships, and be a leader in the community in order to earn customer’s confidence in selecting Clayton Homes for their housing solution.     Essential Duties and Responsibilities    Protect the Clayton Homes assets by maintaining a high level of integrity throughout the sales process.  Manages:    Home Center’s website- Update and maintain all aspects of the Home Center’s webpage including but not limited to- ensure the Home Center’s inventory is updated with descriptions, pricing, pictures, and current promotions; design and implement branding for the Home Center’s web page via testimonials, home center reviews etc.  Facebook Page- Update page and create new posts weekly to generate excitement; gather a following (‘likes’ friends, etc.); generate appointments through “Event Invitation’s”; promote current sales and specials; utilize local “yard sale” Facebook pages to generate prospects.  Internet Marketing- Create, post, and update ads daily for new and used homes; reply to all inquiries; field calls/emails to gather customer base.  Corporate Lead Generation- Make contact with internally generated leads sent to the Home Center from corporate, in a timely manner and set appointments to convert these leads to buyers.  Text/Email Contact- Utilize text messaging and email to contact customers and generate appointments; research and implement new sources/programs for customer contact, marketing, and to generate prospects.  Other New Media- Stay up-to-date on technology/apps/social media and present new ways to attract customers, gain commitments, and maintain contact with current customers.  Other Marketing- Place marketing material around the local area, establish relationships with local businesses, banks, schools etc.  Corporate Marketing- Maintain contact with the internal corporate marketing department to assist with email blasts, promotional items, and other customer contact.      Follow-up with all internet leads, social media comments, emails, messages, etc. in a timely and professional manner.  Develop expertise in areas such as finance, product, sales acumen, sales presentation skills, and your local market.  Maintain customer files and provide timely follow-up with prospective buyers via the company’s internal system.  Assist Home Center Manager with selecting inventory, decorating display models, and maintaining the overall appearance and integrity of the homes.  Develop, refine, and execute a strategic sales and marketing plan to increase Home Center traffic and your personal sales.  Present display homes to prospects demonstrating the features and benefits of the home to create added value.  Assist customers with finding the right floor plan, selecting options, obtaining financing, and coordinating the construction process.  Facilitate the home buying process by maintaining communication with the buyer throughout each phase of the process.  Be a positive team member and assist in the development of other Clayton Homes team members.  Participate in sales meetings, training opportunities, and any other company sponsored functions.    Qualifications  Including but not limited to:    Strong communication and computer skills with a background in business and marketing  Social media savvy; ability to create a fan base and excitement on and social media pages  Experience with initiating contact and following-up with internet leads/prospects  Must have established social media accounts/presence with a large network following  Ability to take pictures and post them to a computer/website  At least 6 months of sales experience preferred  Ability to excel and contribute to a team environment  Possess great phone skills  Reliable and dependable  Strong organizational and time management skills  Professional demeanor and appearance  General understanding of the retail environment  Must pass criminal background check and post-offer drug screen  Ability to learn business and finance mortgage concepts  Ability to obtain appropriate manufactured homes sales licensing  Ability to move and lift furniture, promotional items etc.    Benefits    A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth  Benefit - 401k with employer match  Home Centers are closed on Sundays – we believe in offering a balanced working environment;  Training and Professional Development – we offer online educational opportunities and training seminars.    Compensation    As a Part Time Internet Digital Sales Specialist with Clayton Homes, you will receive an hourly wage.    You will find much more information about Clayton Homes by visiting our website at:  www.claytonhomes.com","HAGOOD, MICHAEL",Part Time
Open,RETAIL,req2075,00652-CLAYTON HOMES #652,Office and Administrative Support,SALES ASSISTANT,"Clayton Homes Part Time Sales Assistant - Gulfport, MS",01/09/2018 04:52 PM,40,16103 HWY 49,,GULFPORT,MS,39503,"Position Description: Sales AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Sales AssistantAs a Sales Assistant with Clayton Homes, you will assist the sales team to create a world class home buying experience. To be successful in this role, Sales Assistants must possess an ability to create an initial rapport over the phone with potential home buyers, generate new sales leads in the community for the sales team, and take applications over the phone for prospective home buyers. The sole purpose of this role is to assist the sales team and general manager of the home center to generate leads.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Prospect for customers utilizing various marketing methods including, but not limited to web marketing, road signage, and flyers.Set appointments utilizing prospecting as well as fielding ad calls;Answer prospect inquiries;Greet prospects as they visit the retail location;Effectively demonstrate (feature-benefit) homes to prospects;TO (turn over) prospects to Sales Professional/Manager when applicable;Schedule set-up and delivery and other service-related items;Follow-up with customers utilizing various contact methods;Maintain atmosphere of the retail office and homes on the property, including but not limited to cleaning, maintaining refreshment area, moving furniture and décor,etcActively partner with manager on all exceptions and questions;Protect company assets;Participate in sales meetings and other company events;Participate as needed during marketing promotions and events;Contribute to a positive team environment;Assist other Sales Professionals as needed;Perform other duties as assigned or delegated by manager;Compensation:As a Sales Assistant with Clayton Homes, you will receive an hourly wage plus a percentage of commission on deals you generated.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;Training and Professional Development – we offer online educational opportunities and training seminars.","LOWRY, AMBER",Part Time
Open,RETAIL,req2185,00277-CLAYTON HOMES #277,Office and Administrative Support,SALES ASSISTANT,"Clayton Homes Sales Assistant - Evans, CO",02/07/2018 07:52 AM,11,3455 WEST SERVICE ROAD,,EVANS,CO,80620,"Position Description: Sales AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Sales AssistantAs a Sales Assistant with Clayton Homes, you will assist the sales team to create a world class home buying experience. To be successful in this role, Sales Assistants must possess an ability to create an initial rapport over the phone with potential home buyers, generate new sales leads in the community for the sales team, and take applications over the phone for prospective home buyers. The sole purpose of this role is to assist the sales team and general manager of the home center to generate leads.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Prospect for customers utilizing various marketing methods including, but not limited to web marketing, road signage, and flyers.Set appointments utilizing prospecting as well as fielding ad calls;Answer prospect inquiries;Greet prospects as they visit the retail location;Effectively demonstrate (feature-benefit) homes to prospects;TO (turn over) prospects to Sales Professional/Manager when applicable;Schedule set-up and delivery and other service-related items;Follow-up with customers utilizing various contact methods;Maintain atmosphere of the retail office and homes on the property, including but not limited to cleaning, maintaining refreshment area, moving furniture and décor,etcActively partner with manager on all exceptions and questions;Protect company assets;Participate in sales meetings and other company events;Participate as needed during marketing promotions and events;Contribute to a positive team environment;Assist other Sales Professionals as needed;Perform other duties as assigned or delegated by manager;Compensation:As a Sales Assistant with Clayton Homes, you will receive an hourly wage plus a percentage of commission on deals you generated.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;Training and Professional Development – we offer online educational opportunities and training seminars.Job Category: Office and Administrative Support","DAUGHERTY, CRYSTAL",Full Time
Open,RETAIL,req2226,01091-CLAYTON HOMES #1091,Office and Administrative Support,SALES ASSISTANT,"Clayton Homes Part Time Sales Assistant - Buckeye, AZ",02/16/2018 11:10 AM,2,231 N. APACHE RD,,BUCKEYE,AZ,85326,"Position Description: Part Time Sales AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Sales AssistantAs a Sales Assistant with Clayton Homes, you will assist the sales team to create a world class home buying experience. To be successful in this role, Sales Assistants must possess an ability to create an initial rapport over the phone with potential home buyers, generate new sales leads in the community for the sales team, and take applications over the phone for prospective home buyers. The sole purpose of this role is to assist the sales team and general manager of the home center to generate leads.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Prospect for customers utilizing various marketing methods including, but not limited to web marketing, road signage, and flyers.Set appointments utilizing prospecting as well as fielding ad calls;Answer prospect inquiries;Greet prospects as they visit the retail location;Effectively demonstrate (feature-benefit) homes to prospects;TO (turn over) prospects to Sales Professional/Manager when applicable;Schedule set-up and delivery and other service-related items;Follow-up with customers utilizing various contact methods;Maintain atmosphere of the retail office and homes on the property, including but not limited to cleaning, maintaining refreshment area, moving furniture and décor,etcActively partner with manager on all exceptions and questions;Protect company assets;Participate in sales meetings and other company events;Participate as needed during marketing promotions and events;Contribute to a positive team environment;Assist other Sales Professionals as needed;Perform other duties as assigned or delegated by manager;Compensation:As a Sales Assistant with Clayton Homes, you will receive an hourly wage plus a percentage of commission on deals you generated.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;401K with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;Training and Professional Development – we offer online educational opportunities and training seminars.","PIKOFF, ZACHARY",Part Time
Open,RETAIL,req1858,00733-OAKWOOD HOMES #733,Professional Services,SALES INTERN,"Clayton Homes Retail Sales & Management Internship Summer 2018 - Tulsa, OK",10/31/2017 09:56 AM,110,12547 E SKELLY DRIVE,,TULSA,OK,74128,"  Retail Sales & Management Internship Job Description  Position Description: Retail Sales & Management Internship  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  As the Retail Sales & Management Intern, you will have the opportunity to learn multiple roles at the Clayton Home Center. Our 11-week summer program provides valuable experience in sales and sales management, inventory management, and marketing coordination. You will be paired with an experienced, successful Home Center Manager and will be involved in daily business activities while learning about the culture and environment of the company. You will gain valuable experience in multiple facets of business, sales, and team work.   Benefits:    A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;  Paid Holidays - Memorial Day & Independence Day  Home Centers are closed on Sundays – we believe in offering a balanced working environment;          Requirements:    Junior or Senior standing with a cumulative GPA of 3.00 or higher  Motivated, self-starter that thrives in a fast-paced environment  Interested in pursuing a career in Business, Sales, or Marketing  Ability to multitask and work in a team environment    Professional experience in retail or customer service","CHILES, SUE",Full Time
